SegmentPair,OverlapRatio,NumCorrespondences
"(3, 7) with (9, 1)",0.009373408048904738,92
"(6, 8) with (8, 5)",0.00917193043177295,106
"(2, 8) with (4, 4)",0.008800521512385919,54
"(2, 8) with (4, 6)",0.008800521512385919,54
"(0, 2) with (7, 3)",0.008749189889825017,216
"(4, 2) with (6, 3)",0.008628772540120394,635
"(1, 8) with (9, 2)",0.008525996443142588,163
"(2, 8) with (4, 1)",0.00847457627118644,52
"(3, 8) with (5, 6)",0.008289909995262908,70
"(0, 2) with (7, 2)",0.008222618276085548,203
"(1, 2) with (6, 6)",0.008150554297294076,547
"(6, 8) with (9, 2)",0.008133598684779787,94
"(2, 6) with (4, 4)",0.008104738154613466,65
"(1, 3) with (8, 9)",0.008099123602296766,536
"(3, 9) with (9, 4)",0.007990867579908675,49
"(1, 7) with (6, 6)",0.007895340830846913,172
"(5, 5) with (6, 3)",0.007878083430195014,183
"(2, 8) with (6, 3)",0.007822685788787484,48
"(1, 8) with (6, 8)",0.007479861910241657,143
"(2, 7) with (9, 6)",0.007423787711262044,47
"(2, 8) with (9, 2)",0.007007822685788787,43
"(8, 6) with (9, 2)",0.006740295598505766,166
"(0, 7) with (9, 7)",0.006722542343286188,77
"(2, 7) with (6, 3)",0.006634023061127784,42
"(4, 2) with (8, 5)",0.00641382777785327,472
"(4, 7) with (9, 2)",0.0059910414333706604,107
"(1, 2) with (3, 9)",0.005766479914173322,387
"(0, 6) with (2, 8)",0.005658077994428969,65
"(2, 5) with (4, 9)",0.0055754260467073425,53
"(6, 8) with (8, 6)",0.005191658734965822,60
"(6, 8) with (8, 7)",0.005191658734965822,60
"(6, 6) with (9, 2)",0.005137274717870979,61
"(4, 2) with (8, 9)",0.005109320433205148,376
"(0, 5) with (9, 2)",0.005014022265658197,59
"(0, 2) with (9, 2)",0.004820155541153597,119
"(8, 6) with (9, 1)",0.004791294461588436,118
"(0, 6) with (9, 9)",0.004787604456824512,55
"(0, 9) with (8, 9)",0.004551920341394026,48
"(1, 8) with (4, 6)",0.00455068521811905,87
"(0, 2) with (4, 1)",0.004496111471160078,111
"(0, 7) with (8, 9)",0.004452592980618125,51
"(1, 8) with (4, 4)",0.00439376503818391,84
"(1, 8) with (9, 6)",0.00439376503818391,84
"(6, 5) with (8, 5)",0.00432617745490164,106
"(2, 5) with (4, 7)",0.004313065432358511,41
"(0, 5) with (6, 3)",0.0042491714115747425,50
"(5, 1) with (6, 3)",0.0042246922356134285,523
"(1, 8) with (4, 1)",0.004184538131603724,80
"(1, 8) with (7, 2)",0.004184538131603724,80
"(6, 5) with (9, 2)",0.004122112480613827,101
